soc_delta,soc_min,soc_max,score_bias_offset_mv,rmse_no_bias_mv,bias_no_bias_mv,rmse_with_score_bias_mv,bias_with_score_bias_mv
0.08,0.2943915247127619,0.999,247.94616256582017,450.31434928136196,247.94616256582017,375.9065224727823,0.0
0.085,0.2993915247127619,0.999,248.76452423726428,451.00309708962436,248.76452423726428,376.19144735817787,1.9315607649257278e-14
0.09,0.3043915247127619,0.999,249.65889899173766,451.8115634744871,249.65889899173766,376.56888220283656,1.9315607649257278e-14
0.095,0.3093915247127619,0.999,250.49323108065403,452.63798800981766,250.49323108065403,377.0070150174263,-3.8631215298514557e-14
0.1,0.3143915247127619,0.999,251.30924642431955,453.51001736413644,251.30924642431955,377.51158725429866,-9.657803824628639e-14
0.105,0.3193915247127619,0.999,252.11320028160193,454.36862437223476,252.11320028160193,378.0076468243543,0.0
0.11,0.3243915247127619,0.999,252.89894855201845,455.1801655405766,252.89894855201845,378.45885499328745,1.3520925354480096e-13
0.115,0.3293915247127619,0.999,253.68317772760744,455.98729246735144,253.68317772760744,378.90533940514615,7.726243059702911e-14
0.12,0.3343915247127619,0.999,254.47404134358447,456.7987885528351,254.47404134358447,379.3522050886239,-1.5452486119405823e-13
0.125,0.3393915247127619,0.999,255.2836698410631,457.5928603818663,255.2836698410631,379.7650244360811,1.1589364589554367e-13
0.13,0.3443915247127619,0.999,256.0694639724618,458.31461520243073,256.0694639724618,380.10619059548117,-7.726243059702911e-14
0.135,0.3493915247127619,0.999,256.7946809235811,459.02229278297386,256.7946809235811,380.47070468183796,-1.5452486119405823e-13
0.14,0.3543915247127619,0.999,257.45327642853823,459.6880523773014,257.45327642853823,380.82924776682694,0.0
0.145,0.3593915247127619,0.999,258.1074524296295,460.3465597575545,258.1074524296295,381.18171267900846,-1.1589364589554367e-13
0.15,0.3643915247127619,0.999,258.7765014919834,461.0212557331459,258.7765014919834,381.543340281725,-1.9315607649257278e-13
0.155,0.36939152471276193,0.999,259.44648472697514,461.69152905502426,259.44648472697514,381.8986639986867,5.794682294777183e-14
0.16,0.37439152471276194,0.999,260.11437768611995,462.34674227185883,260.11437768611995,382.23686453606643,3.8631215298514557e-14
0.165,0.37939152471276194,0.999,260.7842823709574,462.95931894425985,260.7842823709574,382.5217497941754,0.0
0.17,0.38439152471276195,0.999,261.38761193846705,463.39339387397536,261.38761193846705,382.63553652417943,0.0
0.175,0.3893915247127619,0.999,261.9354211593206,463.80096942197576,261.9354211593206,382.75471829731094,-3.8631215298514557e-14
0.18,0.3943915247127619,0.999,262.3942251629776,464.1375844888564,262.3942251629776,382.84849214313346,3.8631215298514557e-14
0.185,0.3993915247127619,0.999,262.84716916297316,464.45474762997435,262.84716916297316,382.9224180679874,-3.8631215298514557e-14
0.19,0.4043915247127619,0.999,263.28240586782664,464.715078255908,263.28240586782664,382.9392624409825,-1.9315607649257278e-14
0.195,0.4093915247127619,0.999,263.7188988654944,464.9676157160746,263.7188988654944,382.945460928658,0.0
0.2,0.4143915247127619,0.999,264.14708301386963,465.1898068965606,264.14708301386963,382.9201940035589,1.7384046884331552e-13
