s0,q_assumed_ah,soc_min,soc_max,score_bias_offset_mv,rmse_no_bias_mv,bias_no_bias_mv,rmse_with_score_bias_mv,bias_with_score_bias_mv
0.3,1.65,0.001,0.3,-162.41668177464942,415.59921867094596,-162.41668177464942,382.54873159012436,1.1589364589554367e-13
0.31,1.65,0.001,0.31,-159.68881231570387,413.6721871646966,-159.68881231570387,381.60733962389094,0.0
0.32,1.65,0.001,0.32,-157.04273473198074,411.85784245606305,-157.04273473198074,380.74198857029666,-3.8631215298514557e-14
0.33,1.65,0.001,0.33,-154.52424477876116,410.1866302368618,-154.52424477876116,379.9675372984191,0.0
0.34,1.65,0.001,0.34,-152.113922461778,408.62765609009625,-152.113922461778,379.25969455635305,1.9315607649257278e-14
0.35,1.65,0.001,0.35,-148.75232320593327,405.9371842736357,-148.75232320593327,377.70060089553107,-1.3520925354480096e-13
0.36,1.65,0.001,0.36,-145.36470207106927,403.324748926458,-145.36470207106927,376.21796406920777,-1.7384046884331552e-13
0.37,1.65,0.001,0.37,-142.40166555924864,401.2890905119213,-142.40166555924864,375.17289322369345,-3.8631215298514557e-14
0.38,1.65,0.001,0.38,-139.57373069544846,399.4242091659859,-139.57373069544846,374.2444021860951,9.657803824628639e-14
0.39,1.65,0.001,0.39,-136.87344023419126,397.69396389512895,-136.87344023419126,373.3981123105437,7.726243059702911e-14
0.4,1.65,0.001,0.4,-134.30895194383436,396.1007981711008,-134.30895194383436,372.63514023711167,-7.726243059702911e-14
0.41,1.65,0.001,0.41,-131.02573333654968,393.6202579430691,-131.02573333654968,371.17268847099683,2.1247168414183007e-13
0.42,1.65,0.001,0.42,-127.40867704362738,390.84987787649976,-127.40867704362738,369.5005494584108,-1.9315607649257278e-14
0.43,1.65,0.001,0.43,-124.29973242180442,388.74579520275927,-124.29973242180442,368.3379831183494,-1.5452486119405823e-13
0.44,1.65,0.001,0.44,-121.3597368864758,386.8575911639776,-121.3597368864758,367.3290215924146,3.8631215298514557e-14
0.45,1.65,0.001,0.45,-118.5128228238236,385.0752415430186,-118.5128228238236,366.38456910157,1.1589364589554367e-13
0.46,1.65,0.001,0.46,-115.82394358488777,383.45945663756163,-115.82394358488777,365.548859904143,1.9315607649257278e-14
0.47,1.65,0.001,0.47,-112.64091227518121,381.1939309951741,-112.64091227518121,364.17144027143104,-1.9315607649257278e-13
0.48,1.65,0.001,0.48,-108.79627970565467,378.23128257718093,-108.79627970565467,362.24614924411304,-1.5452486119405823e-13
0.49,1.65,0.001,0.49,-105.52791650574036,376.0212297454547,-105.52791650574036,360.9097173217168,1.7384046884331552e-13
0.5,1.65,0.001,0.5,-102.4832011077034,374.1001493590201,-102.4832011077034,359.7889871037733,-1.3520925354480096e-13
0.51,1.65,0.001,0.51,-99.50120827825775,372.2528787479872,-99.50120827825775,358.7083986852419,3.8631215298514557e-14
0.52,1.65,0.001,0.52,-96.69530239267324,370.5919498357583,-96.69530239267324,357.75468100118366,-1.5452486119405823e-13
0.53,1.65,0.001,0.53,-93.66108397081017,368.5674591287485,-93.66108397081017,356.46819392203076,1.1589364589554367e-13
0.54,1.65,0.001,0.54,-89.63499561936104,365.388722226373,-89.63499561936104,354.2237793973447,-9.657803824628639e-14
0.55,1.65,0.001,0.55,-86.2609442692576,363.06491787567325,-86.2609442692576,352.6686604815423,4.8289019123143196e-14
