trajectory_id,split,amplitude,phase,v0,t,u,v,dv
test_interp_2,test_interp,0.62,2.55,0,4.38,-0.2333492089286823,-0.7971662507906417,0.1799348084043536
test_interp_2,test_interp,0.62,2.55,0,4.4,-0.2289218896431383,-0.7935574910964234,0.1809161300659631
test_interp_2,test_interp,0.62,2.55,0,4.42,-0.2246395239239934,-0.7899305912159292,0.1817496097895922
test_interp_2,test_interp,0.62,2.55,0,4.44,-0.2205003400708919,-0.7862884607444889,0.182439985713633
test_interp_2,test_interp,0.62,2.55,0,4.46,-0.216502349690163,-0.7826339136986761,0.1829920769849498
test_interp_2,test_interp,0.62,2.55,0,4.48,-0.2126433512532509,-0.778969666931664,0.1834107802010774
test_interp_2,test_interp,0.62,2.55,0,4.5,-0.2089209338992618,-0.7752983386200781,0.1837010658172238
test_interp_2,test_interp,0.62,2.55,0,4.52,-0.2053324814771861,-0.7716224468231158,0.1838679745113738
test_interp_2,test_interp,0.62,2.55,0,4.54,-0.2018751768231133,-0.7679444081148362,0.1839166135012389
test_interp_2,test_interp,0.62,2.55,0,4.56,-0.1985460062674662,-0.7642665362906415,0.183852152807317
test_interp_2,test_interp,0.62,2.55,0,4.58,-0.1953417643670693,-0.7605910411490783,0.1836798214567884
test_interp_2,test_interp,0.62,2.55,0,4.6,-0.1922590588565805,-0.7569200273501947,0.1834049036235359
test_interp_2,test_interp,0.62,2.55,0,4.62,-0.1892943158135962,-0.7532554933517696,0.1830327347000852
test_interp_2,test_interp,0.62,2.55,0,4.64,-0.1864437850315055,-0.7495993304248154,0.1825686972978121
test_interp_2,test_interp,0.62,2.55,0,4.66,-0.1837035455939217,-0.7459533217498204,0.1820182171723391
test_interp_2,test_interp,0.62,2.55,0,4.68,-0.1810695116443282,-0.7423191415952525,0.1813867590715839
test_interp_2,test_interp,0.62,2.55,0,4.7,-0.1785374383443302,-0.7386983545798917,0.1806798225045329
test_interp_2,test_interp,0.62,2.55,0,4.72,-0.1761029280137187,-0.7350924150205931,0.1799029374293731
test_interp_2,test_interp,0.62,2.55,0,4.74,-0.1737614364453439,-0.7315026663670985,0.17906165986022
test_interp_2,test_interp,0.62,2.55,0,4.76,-0.1715082793876021,-0.7279303407255314,0.178161567392274
test_interp_2,test_interp,0.62,2.55,0,4.78,-0.1693386391871617,-0.7243765584722001,0.1772082546458301
test_interp_2,test_interp,0.62,2.55,0,4.8,-0.1672475715843723,-0.7208423279593243,0.1762073286301737
test_interp_2,test_interp,0.62,2.55,0,4.82,-0.1652300126536398,-0.7173285453142729,0.1751644040289821
test_interp_2,test_interp,0.62,2.55,0,4.84,-0.1632807858808787,-0.7138359943338589,0.174085098409465
test_interp_2,test_interp,0.62,2.55,0,4.86,-0.1613946093700189,-0.7103653464751926,0.1729750273580477
test_interp_2,test_interp,0.62,2.55,0,4.88,-0.1595661031703895,-0.7069171609445273,0.1718397995460016
test_interp_2,test_interp,0.62,2.55,0,4.9,-0.1577897967166708,-0.7034918848854603,0.1706850117289998
test_interp_2,test_interp,0.62,2.55,0,4.92,-0.1560601363729913,-0.7000898536677662,0.1695162436851349
test_interp_2,test_interp,0.62,2.55,0,4.94,-0.1543714930726202,-0.696711291278043,0.1683390530964982
test_interp_2,test_interp,0.62,2.55,0,4.96,-0.1527181700446061,-0.6933563108132447,0.1671589703799575
test_interp_2,test_interp,0.62,2.55,0,4.98,-0.1510944106186193,-0.6900249150780554,0.1659814934732878
test_interp_2,test_interp,0.62,2.55,0,5,-0.1494944060991623,-0.6867169972869326,0.1648120825833218
test_interp_2,test_interp,0.62,2.55,0,5.02,-0.1479123037002448,-0.683432341871507,0.1636561549032606
test_interp_2,test_interp,0.62,2.55,0,5.04,-0.1463422145315506,-0.6801706253938827,0.1625190793067481
test_interp_2,test_interp,0.62,2.55,0,5.06,-0.144778221627052,-0.6769314175662209,0.1614061710267631
test_interp_2,test_interp,0.62,2.55,0,5.08,-0.1432143880070134,-0.6737141823768277,0.1603226863277554
test_interp_2,test_interp,0.62,2.55,0,5.1,-0.1416447647642535,-0.6705182793227935,0.1592738171798699
test_interp_2,test_interp,0.62,2.55,0,5.12,-0.1400633991655319,-0.6673429647490512,0.1582646859444215
test_interp_2,test_interp,0.62,2.55,0,5.14,-0.1384643427588991,-0.6641873932935327,0.1573003400801155
test_interp_2,test_interp,0.62,2.55,0,5.16,-0.1368416594778425,-0.6610506194379133,0.1563857468797775
test_interp_2,test_interp,0.62,2.55,0,5.18,-0.1351894337330708,-0.6579315991632327,0.1555257882476066
test_interp_2,test_interp,0.62,2.55,0,5.2,-0.13350177848278,-0.6548291917094805,0.1547252555271688
test_interp_2,test_interp,0.62,2.55,0,5.22,-0.1317728432722852,-0.6517421614380287,0.1539888443905095
test_interp_2,test_interp,0.62,2.55,0,5.24,-0.1299968222339138,-0.6486691797955823,0.1533211497989031
test_interp_2,test_interp,0.62,2.55,0,5.26,-0.1281679620381251,-0.6456088273781114,0.1527266610458209
test_interp_2,test_interp,0.62,2.55,0,5.28,-0.1262805697868387,-0.6425595960930126,0.1522097568927709
test_interp_2,test_interp,0.62,2.55,0,5.3,-0.1243290208400638,-0.6395198914175357,0.1517747008086223
test_interp_2,test_interp,0.62,2.55,0,5.32,-0.1223077665669508,-0.6364880347513019,0.1514256363230194
test_interp_2,test_interp,0.62,2.55,0,5.34,-0.1202113420124919,-0.6334622658605242,0.1511665825043823
test_interp_2,test_interp,0.62,2.55,0,5.36,-0.1180343734711899,-0.6304407454113361,0.1510014295728576
test_interp_2,test_interp,0.62,2.55,0,5.38,-0.115771585959105,-0.6274215575894262,0.1509339346584171
test_interp_2,test_interp,0.62,2.55,0,5.4,-0.1134178105758079,-0.6244027128029764,0.1509677177140742
test_interp_2,test_interp,0.62,2.55,0,5.42,-0.1109679917478932,-0.6213821504657032,0.1511062575939231
test_interp_2,test_interp,0.62,2.55,0,5.44,-0.1084171943458185,-0.6183577418566114,0.1513528883054147
test_interp_2,test_interp,0.62,2.55,0,5.46,-0.1057606106660003,-0.6153272930528844,0.1517107954449151
test_interp_2,test_interp,0.62,2.55,0,5.48,-0.1029935672702094,-0.612288547932157,0.1521830128252413
test_interp_2,test_interp,0.62,2.55,0,5.5,-0.1001115316745102,-0.6092391912402499,0.1527724193034005
test_interp_2,test_interp,0.62,2.55,0,5.52,-0.09711011888010575,-0.606176851720281,0.1534817358163481
test_interp_2,test_interp,0.62,2.55,0,5.54,-0.09398509773865793,-0.6030991052989202,0.1543135226320526
test_interp_2,test_interp,0.62,2.55,0,5.56,-0.09073239714482112,-0.6000034783254136,0.1552701768226392
test_interp_2,test_interp,0.62,2.55,0,5.58,-0.08734811204891121,-0.596887450858871,0.1563539299658391
test_interp_2,test_interp,0.62,2.55,0,5.6,-0.08382850928283805,-0.5937484599991942,0.1575668460803756
test_interp_2,test_interp,0.62,2.55,0,5.62,-0.08017003319263419,-0.5905839032569161,0.1589108198003151
test_interp_2,test_interp,0.62,2.55,0,5.64,-0.07636931107111572,-0.5873911419571253,0.160387574792787
test_interp_2,test_interp,0.62,2.55,0,5.66,-0.07242315838443536,-0.5841675046725707,0.1619986624228282
test_interp_2,test_interp,0.62,2.55,0,5.68,-0.06832858378652068,-0.580910290680973,0.1637454606684361
test_interp_2,test_interp,0.62,2.55,0,5.7,-0.06408279391560918,-0.5776167734415105,0.1656291732882514
test_interp_2,test_interp,0.62,2.55,0,5.72,-0.05968319796734003,-0.5742842040854111,0.1676508292436007
test_interp_2,test_interp,0.62,2.55,0,5.74,-0.0551274120391038,-0.5709098149155506,0.1698112823759398
test_interp_2,test_interp,0.62,2.55,0,5.76,-0.05041326324060839,-0.5674908229099439,0.1721112113400401
test_interp_2,test_interp,0.62,2.55,0,5.78,-0.04553879356586334,-0.5640244332240182,0.1745511197925793
test_interp_2,test_interp,0.62,2.55,0,5.8,-0.04050226352205826,-0.5605078426865677,0.1771313368350998
test_interp_2,test_interp,0.62,2.55,0,5.82,-0.03530215551107236,-0.5569382432843201,0.1798520177096168
test_interp_2,test_interp,0.62,2.55,0,5.84,-0.02993717695962305,-0.5533128256300823,0.1827131447444938
test_interp_2,test_interp,0.62,2.55,0,5.86,-0.02440626319433909,-0.5496287824094924,0.185714528547538
test_interp_2,test_interp,0.62,2.55,0,5.88,-0.0187085800583252,-0.5458833118014665,0.1888558094426276
test_interp_2,test_interp,0.62,2.55,0,5.9,-0.01284352626606173,-0.542073620867514,0.1921364591455689
test_interp_2,test_interp,0.62,2.55,0,5.92,-0.006810735493778535,-0.5381969289051827,0.1955557826742698
test_interp_2,test_interp,0.62,2.55,0,5.94,-0.0006100782027259011,-0.5342504707610041,0.1991129204877494
test_interp_2,test_interp,0.62,2.55,0,5.96,0.005758336806933089,-0.5302315000984186,0.2028068508479472
test_interp_2,test_interp,0.62,2.55,0,5.98,0.01229416111360133,-0.5261372926162909,0.2066363923977849
test_interp_2,test_interp,0.62,2.55,0,6,0.01899680566478028,-0.521965149213761,0.2106002069484403
test_interp_2,test_interp,0.62,2.55,0,6.02,0.02586544004204483,-0.517712399097318,0.2146968024683357
test_interp_2,test_interp,0.62,2.55,0,6.04,0.03289899200154698,-0.5133764028261442,0.2189245362659298
test_interp_2,test_interp,0.62,2.55,0,6.06,0.04009614729083312,-0.5089545552919328,0.2232816183580127
test_interp_2,test_interp,0.62,2.55,0,6.08,0.04745534974244948,-0.504444288629558,0.2277661150148536
test_interp_2,test_interp,0.62,2.55,0,6.1,0.05497480164451973,-0.4998430750551465,0.2323759524732531
