t,x1,x2,dx1,dx2,split
17.56,1.273351383425162,-0.6391927912395854,-0.6391927912395854,-0.4789322263494427,future
17.57,1.266935366932418,-0.6440247948738042,-0.6440247948738042,-0.4875040704336642,future
17.58,1.260470598203064,-0.6489435950365431,-0.6489435950365431,-0.496292623766398,future
17.59,1.253956198380475,-0.6539513920681695,-0.6539513920681695,-0.5053046044649534,future
17.6,1.247391266165568,-0.6590504550085652,-0.6590504550085652,-0.5145469700583392,future
17.61,1.240774877254035,-0.6642431234764656,-0.6642431234764656,-0.5240269270606643,future
17.62,1.234106083645557,-0.6695318103465642,-0.6695318103465642,-0.5337519402887536,future
17.63,1.227383912714223,-0.6749190048396649,-0.6749190048396649,-0.5437297427514678,future
17.64,1.220607366619819,-0.6804072745815473,-0.6804072745815473,-0.553968346279615,future
17.65,1.213775421490391,-0.6859992687018631,-0.6859992687018631,-0.5644760519921603,future
17.66,1.206887026410022,-0.6916977212269914,-0.6916977212269914,-0.5752614614429188,future
17.67,1.199941102787726,-0.6975054533657765,-0.6975054533657765,-0.5863334883951103,future
17.68,1.192936543391689,-0.7034253770947881,-0.7034253770947881,-0.5977013705764258,future
17.69,1.185872211273421,-0.7094604988157928,-0.7094604988157928,-0.6093746821882497,future
17.7,1.178746939066539,-0.7156139219493826,-0.7156139219493826,-0.6213633469089612,future
17.71,1.171559527841781,-0.7218888511163551,-0.7218888511163551,-0.6336776510711724,future
17.72,1.16430874600461,-0.7282885959452821,-0.7282885959452821,-0.646328257624313,future
17.73,1.156993328473445,-0.7348165741348029,-0.7348165741348029,-0.6593262204475532,future
17.74,1.149611975342406,-0.7414763162861143,-0.7414763162861143,-0.6726829990910725,future
17.75,1.142163350778681,-0.7482714697723278,-0.7482714697723278,-0.6864104742199639,future
17.76,1.134646082021375,-0.7552058024602184,-0.7552058024602184,-0.7005209633383216,future
17.77,1.127058757857792,-0.7622832081857587,-0.7622832081857587,-0.7150272372076525,future
17.78,1.119399927526634,-0.7695077106590716,-0.7695077106590716,-0.7299425367344312,future
17.79,1.111668099479541,-0.7768834680322119,-0.7768834680322119,-0.7452805902210962,future
17.8,1.103861739696204,-0.7844147789405677,-0.7844147789405677,-0.7610556314968964,future
17.81,1.095979270562276,-0.7921060865408651,-0.7921060865408651,-0.7772824181647757,future
17.82,1.08801906936191,-0.7999619840154013,-0.7999619840154013,-0.7939762504627772,future
17.83,1.079979466458044,-0.8079872210956136,-0.8079872210956136,-0.811152991022746,future
17.84,1.071858744089187,-0.8161867084064713,-0.8161867084064713,-0.8288290843565009,future
17.85,1.063655134566546,-0.8245655239804992,-0.8245655239804992,-0.8470215773293059,future
17.86,1.05536681836804,-0.8331289200881531,-0.8331289200881531,-0.8657481402762792,future
17.87,1.046991922785795,-0.8418823280914679,-0.8418823280914679,-0.8850270875368509,future
17.88,1.038528519753354,-0.8508313662177562,-0.8508313662177562,-0.904877399496623,future
17.89,1.029974623993874,-0.8599818461702138,-0.8599818461702138,-0.9253187443897235,future
17.9,1.021328191336203,-0.869339779089278,-0.869339779089278,-0.9463714997784618,future
17.91,1.01258711622547,-0.8789113843708326,-0.8789113843708326,-0.9680567757173484,future
17.92,1.00374922994987,-0.8887030959247219,-0.8887030959247219,-0.9903964363843007,future
